Portsmouth,NH,23,1,4,,,Ttest AVL and BST,Ttest AVL and Splay,Ttest Splay and BST
Portsmouth,NH,1,1,4,,p-values,0.00000,1.0587E-38,0.0E+00
Portsmouth,NH,1,1,4,,,,,
Portsmouth,NH,1,1,4,,,,,
Portsmouth,NH,1,1,4,,,,,
Portsmouth,NH,1,1,4,,,,,
Holtsville,NY,20,2,13,,,,,
Holtsville,NY,1,2,13,,,,,
Agawam,MA,19,3,8,,,,,
Amherst,MA,15,4,6,,,,,
Amherst,MA,1,4,6,,,,,
Amherst,MA,1,4,6,,,,,
Barre,MA,24,5,5,,,,,
Belchertown,MA,16,6,9,,,,,
Blandford,MA,21,7,15,,,,,
Bondsville,MA,17,8,4,,,,,
Brimfield,MA,14,9,8,,,,,
Chester,MA,17,10,14,,,,,
Chesterfield,MA,9,11,10,,,,,
Chicopee,MA,13,12,8,,,,,
Chicopee,MA,1,12,8,,,,,
Chicopee,MA,1,12,8,,,,,
Chicopee,MA,1,12,8,,,,,
Chicopee,MA,1,12,8,,,,,
Cummington,MA,16,13,4,,,,,
Easthampton,MA,19,14,2,,,,,
East Longmeadow,MA,20,15,11,,,,,
East Otis,MA,11,16,14,,,,,
Feeding Hills,MA,18,15,8,,,,,
Gilbertville,MA,21,16,6,,,,,
Goshen,MA,18,17,5,,,,,
Granby,MA,12,18,11,,,,,
Granville,MA,15,19,8,,,,,
Hadley,MA,23,20,6,,,,,
Hampden,MA,17,21,11,,,,,
Hardwick,MA,17,22,7,,,,,
Hatfield,MA,11,23,3,,,,,
Haydenville,MA,15,24,12,,,,,
Holyoke,MA,16,3,16,,,,,
Holyoke,MA,1,3,16,,,,,
Huntington,MA,16,4,8,,,,,
Leeds,MA,25,5,4,,,,,
Leverett,MA,18,6,7,,,,,
Ludlow,MA,17,7,5,,,,,
Monson,MA,30,8,4,,,,,
North Amherst,MA,27,9,3,,,,,
Northampton,MA,17,10,7,,,,,
Northampton,MA,1,10,7,,,,,
Florence,MA,37,17,8,,,,,
Northampton,MA,3,10,7,,,,,
North Hatfield,MA,16,11,11,,,,,
Oakham,MA,13,11,8,,,,,
Palmer,MA,22,12,5,,,,,
Plainfield,MA,21,13,11,,,,,
Russell,MA,28,2,8,,,,,
Shutesbury,MA,35,3,2,,,,,
Southampton,MA,19,4,11,,,,,
South Barre,MA,16,5,5,,,,,
South Hadley,MA,16,6,7,,,,,
Southwick,MA,9,5,6,,,,,
Thorndike,MA,21,6,15,,,,,
Three Rivers,MA,11,7,3,,,,,
Wales,MA,10,8,10,,,,,
Ware,MA,16,9,6,,,,,
Warren,MA,14,10,9,,,,,
West Chesterfield,MA,25,11,8,,,,,
Westfield,MA,13,12,6,,,,,
Westfield,MA,1,12,6,,,,,
West Hatfield,MA,18,13,7,,,,,
West Springfield,MA,15,14,8,,,,,
West Springfield,MA,1,14,8,,,,,
West Warren,MA,10,15,13,,,,,
Whately,MA,18,13,10,,,,,
Wheelwright,MA,12,14,8,,,,,
Wilbraham,MA,9,15,9,,,,,
Williamsburg,MA,14,16,8,,,,,
Woronoco,MA,20,17,11,,,,,
Worthington,MA,16,18,9,,,,,
Springfield,MA,32,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Longmeadow,MA,26,8,7,,,,,
Springfield,MA,2,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Longmeadow,MA,2,8,7,,,,,
Springfield,MA,2,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Indian Orchard,MA,20,6,7,,,,,
Springfield,MA,2,7,7,,,,,
Springfield,MA,1,7,7,,,,,
Pittsfield,MA,22,14,7,,,,,
Pittsfield,MA,1,14,7,,,,,
Pittsfield,MA,1,14,7,,,,,
Adams,MA,32,4,11,,,,,
Ashley Falls,MA,26,6,14,,,,,
Becket,MA,19,7,7,,,,,
Berkshire,MA,23,8,13,,,,,
Cheshire,MA,18,11,9,,,,,
Dalton,MA,19,16,9,,,,,
Dalton,MA,1,16,9,,,,,
Glendale,MA,21,18,14,,,,,
Great Barrington,MA,16,21,11,,,,,
Hinsdale,MA,15,25,8,,,,,
Housatonic,MA,21,5,10,,,,,
Lanesboro,MA,27,7,10,,,,,
Lee,MA,13,8,13,,,,,
Lenox,MA,17,7,11,,,,,
Lenox Dale,MA,10,8,13,,,,,
Middlefield,MA,27,9,5,,,,,
Mill River,MA,24,10,10,,,,,
Monterey,MA,16,10,10,,,,,
North Adams,MA,17,11,13,,,,,
North Egremont,MA,12,12,10,,,,,
Otis,MA,13,13,11,,,,,
Richmond,MA,26,3,10,,,,,
Sandisfield,MA,23,4,6,,,,,
Savoy,MA,16,5,11,,,,,
Sheffield,MA,15,6,12,,,,,
South Egremont,MA,12,7,10,,,,,
Southfield,MA,12,6,10,,,,,
South Lee,MA,17,7,13,,,,,
Stockbridge,MA,29,8,8,,,,,
Stockbridge,MA,1,8,8,,,,,
Tyringham,MA,26,9,6,,,,,
